"","Agriculture","Energy","Precious metals","Softs"
"01.06.1996",0.0727728798258657,0.0782779010067182,0.023446918680027,0.0353223986443142
"01.09.1996",0.0879118810889117,0.082221086323965,0.0186039529142179,0.0399913025537232
"01.12.1996",0.0937243012352154,0.0952370953817941,0.02786038544672,0.0411176954860727
"01.03.1997",0.0944856301261045,0.102637660707786,0.00893557347147573,0.0426724433721878
"01.06.1997",0.0996684427671033,0.101908845158864,0.0145983830248952,0.045721520401388
"01.09.1997",0.107050928426154,0.103766875884084,0.0258649440119675,0.0510807411212778
"01.12.1997",0.103208777864311,0.117869300889779,0.0882611249703218,0.0543056301419098
"01.03.1998",0.131467075196215,0.118776163131399,0.0243186526248967,0.0658857400008737
"01.06.1998",0.159973595438323,0.121208759465913,0.0296773450912916,0.0731518724867576
"01.09.1998",0.172390921232637,0.124150996961852,0.034542889426964,0.0776719881869098
"01.12.1998",0.16323524582332,0.134127152532179,0.0444649780611429,0.0848839659315878
"01.03.1999",0.169845230412853,0.124236744020209,0.0497456925676658,0.0942765190537682
"01.06.1999",0.17353723295544,0.131881446841802,0.0363839307734714,0.102957333691534
"01.09.1999",0.1670513655204,0.129905634279576,0.0365073348262211,0.10788122583156
"01.12.1999",0.143921089317551,0.12284052716312,0.0386130913905546,0.120378209901565
"01.03.2000",0.157803008533648,0.160361319439643,0.0472775761560685,0.101553043340628
"01.06.2000",0.168176184656245,0.169743733433445,0.0592639600456262,0.133653288145544
"01.09.2000",0.171930137655584,0.146436670548415,0.0609328911647822,0.139520754063505
"01.12.2000",0.186540570617428,0.151800888680382,0.0584385722043826,0.111243031258041
"01.03.2001",0.187102893279917,0.147369652624862,0.0611822262275897,0.123028855500654
"01.06.2001",0.182450968001825,0.174119721977868,0.067590562454874,0.117856509169732
"01.09.2001",0.175983357455667,0.165042989613072,0.0798601485092689,0.159821373969424
"01.12.2001",0.194015396460458,0.175015787170634,0.100567748352914,0.13104564808021
"01.03.2002",0.198744763776863,0.18158548724392,0.0996911038229867,0.157335500508982
"01.06.2002",0.19106086598873,0.18986375053887,0.085737910387914,0.162395633337082
"01.09.2002",0.224703161984122,0.186095189784787,0.0828344977060253,0.151589489545493
"01.12.2002",0.268647867790512,0.196065566361228,0.0832612635500618,0.161904502439783
"01.03.2003",0.223854579306726,0.199391830713142,0.0895106805895415,0.114874818274385
"01.06.2003",0.209214973444555,0.236037487291213,0.0862173132561094,0.170130875638066
"01.09.2003",0.265694323369572,0.224529217736506,0.0897999102230758,0.15346997605828
"01.12.2003",0.265323980311311,0.241338460941632,0.0879773521967671,0.119532992470993
"01.03.2004",0.221776738967738,0.226780636629032,0.0860715796748192,0.10216842888068
"01.06.2004",0.250268118893857,0.21511912835056,0.0833385267270693,0.115673486799225
"01.09.2004",0.286730740229363,0.252164639692923,0.0920028352490622,0.138849357734899
"01.12.2004",0.295739065598458,0.331895958224199,0.100422637673779,0.165406651992559
"01.03.2005",0.307772758984661,0.359531540063761,0.116869288223216,0.188610583772437
"01.06.2005",0.330820664183652,0.349054520645778,0.127070082129823,0.173693689794793
"01.09.2005",0.352863626407104,0.35459374008969,0.128786862123896,0.181855601740456
"01.12.2005",0.250244353650163,0.315968090714242,0.124689611087444,0.159646475004476
"01.03.2006",0.280592547609902,0.319835879157101,0.110957960665765,0.183847423196537
"01.06.2006",0.21877816477367,0.270831451912701,0.112144016216694,0.14458370162121
"01.09.2006",0.208634490216349,0.283425941107345,0.106922475062018,0.145073443761516
"01.12.2006",0.214063091834961,0.237010078094523,0.10154664357501,0.121934336242583
"01.03.2007",0.210508706732062,0.216752309436443,0.0959427475764338,0.110437592195322
"01.06.2007",0.222781807903177,0.210012491993677,0.0883719947694584,0.102931174379373
"01.09.2007",0.197065618071432,0.180541597296231,0.0852724844044087,0.105656108556185
"01.12.2007",0.226213790640072,0.212199401323102,0.0825309343477094,0.10771899528202
"01.03.2008",0.217044211196159,0.24373297756133,0.0836499774813373,0.106143169991036
"01.06.2008",0.150888280797956,0.195682984604943,0.0796399249482244,0.0777315822151118
"01.09.2008",0.169970121373842,0.194577942853597,0.0714694200362837,0.0968382489287091
"01.12.2008",0.185134146447538,0.179147999918905,0.0713777942391594,0.0966120346937999
"01.03.2009",0.165193419287889,0.119948930030951,0.0768918178032173,0.0978552393198188
"01.06.2009",0.176809500412104,0.135600435202625,0.062306572347626,0.0885870553983928
"01.09.2009",0.194062524121255,0.159123112890952,0.0739796031453271,0.119019236735395
"01.12.2009",0.193721495615583,0.176689730889842,0.0702019571683171,0.101930500324425
"01.03.2010",0.184110899248297,0.172559366116122,0.0743078988789017,0.117181090390296
"01.06.2010",0.186300533131757,0.191277566871887,0.0763991787196731,0.127787666323486
"01.09.2010",0.197300064514739,0.196325514905957,0.0751586845454915,0.132706363369649
"01.12.2010",0.152683333907091,0.168663835138036,0.0741217462441448,0.122117632708025
